Day,HighTemp,LowTemp
Today,86°,70°
Tue 13,94°,74°
Wed 14,97°,75°
Thu 15,96°,75°
Fri 16,96°,75°
Sat 17,101°,76°
Sun 18,99°,74°
Mon 19,96°,72°
Tue 20,95°,71°
Wed 21,97°,74°
Thu 22,100°,76°
Fri 23,103°,77°
Sat 24,102°,77°
Sun 25,102°,76°
Mon 26,102°,76°
