Day,HighTemp,LowTemp
Tonight,--,69°
Mon 12,87°,70°
Tue 13,94°,73°
Wed 14,97°,75°
Thu 15,99°,74°
Fri 16,100°,74°
Sat 17,101°,76°
Sun 18,99°,73°
Mon 19,95°,71°
Tue 20,95°,71°
Wed 21,98°,74°
Thu 22,100°,76°
Fri 23,102°,76°
Sat 24,102°,77°
Sun 25,102°,77°
