Day,HighTemp,LowTemp
Today,93°,73°
Wed 14,96°,75°
Thu 15,96°,75°
Fri 16,92°,73°
Sat 17,99°,76°
Sun 18,100°,75°
Mon 19,94°,68°
Tue 20,92°,70°
Wed 21,95°,71°
Thu 22,99°,74°
Fri 23,99°,74°
Sat 24,100°,74°
Sun 25,100°,75°
Mon 26,100°,75°
Tue 27,101°,76°
